,'year','Afghanistan','Bahrain','Bangladesh','Cambodia','China','Hong Kong China','India','Indonesia','Iran','Iraq','Israel','Japan','Jordan','Korea Dem. Rep.','Korea Rep.','Kuwait','Lebanon','Malaysia','Mongolia','Myanmar','Nepal','Oman','Pakistan','Philippines','Saudi Arabia','Singapore','Sri Lanka','Syria','Taiwan','Thailand','Vietnam','West Bank and Gaza','Yemen Rep.'
0,1952,779.4453145,9867.084765000001,684.2441716,368.46928560000003,400.44861069999996,3054.421209,546.5657493,749.6816546,3035.326002,4129.766056,4086.522128,3216.956347,1546.907807,1088.277758,1030.592226,108382.3529,4834.804067,1831.132894,786.5668575,331,545.8657228999999,1828.230307,684.5971437999999,1272.880995,6459.5548229999995,2315.138227,1083.53203,1643.485354,1206.947913,757.7974177,605.0664917,1515.5923289999998,781.7175761
1,1957,820.8530296,11635.79945,661.6374577,434.0383364,575.9870009,3629.076457,590.061996,858.9002707000001,3290.257643,6229.333562,5385.278451,4317.694365,1886.080591,1571.134655,1487.593537,113523.1329,6089.786934000001,1810.0669920000003,912.6626085,350,597.9363557999999,2242.746551,747.0835292,1547.9448439999999,8157.591248000001,2843.104409,1072.546602,2117.234893,1507.86129,793.5774147999999,676.2854477999999,1827.0677420000002,804.8304547
2,1962,853.1007099999999,12753.27514,686.3415537999999,496.9136476,487.6740183,4692.648271999999,658.3471509,849.2897700999999,4187.329802,8341.737815,7105.630706,6576.649461,2348.009158,1621.693598,1536.3443869999999,95458.11176,5714.560611,2036.8849440000001,1056.353958,388,652.3968593,2924.638113,803.3427418,1649.5521529999999,11626.41975,3674.735572,1074.4719599999999,2193.037133,1822.879028,1002.1991720000001,772.0491602000001,2198.9563120000003,825.6232006
3,1967,836.1971382,14804.6727,721.1860862000001,523.4323142,612.7056934,6197.962814,700.7706107000001,762.4317721,5906.731804999999,8931.459811,8393.741404,9847.788606999999,2741.796252,2143.540609,2029.2281420000002,80894.88326,6006.983042,2277.742396,1226.04113,349,676.4422254,4720.942687,942.4082588,1814.12743,16903.04886,4977.41854,1135.514326,1881.923632,2643.8586809999997,1295.46066,637.1232887,2649.7150070000002,862.4421463
4,1972,739.9811057999999,18268.65839,630.2336265,421.6240257,676.9000921,8315.928145,724.032527,1111.107907,9613.818607,9576.037596,12786.93223,14778.78636,2110.856309,3701.6215030000003,3030.87665,109347.867,7486.384341,2849.09478,1421.741975,357,674.7881296,10618.03855,1049.938981,1989.3740699999998,24837.42865,8597.756202,1213.39553,2571.423014,4062.523897,1524.3589359999999,699.5016441,3133.4092769999997,1265.047031
5,1977,786.11336,19340.10196,659.8772322000001,524.9721831999999,741.2374699,11186.14125,813.3373230000001,1382.702056,11888.59508,14688.235069999999,13306.619209999999,16610.37701,2852.351568,4106.301249,4657.22102,59265.477139999995,8659.696836,3827.9215710000003,1647.511665,371,694.1124398,11848.343920000001,1175.921193,2373.204287,34167.7626,11210.08948,1348.775651,3195.484582,5596.519826,1961.2246350000003,713.5371196000001,3682.8314939999996,1829.765177
6,1982,978.0114388000001,19211.14731,676.9818656,624.4754784,962.4213804999999,14560.530509999999,855.7235377000001,1516.872988,7608.334602,14517.90711,15367.0292,19384.10571,4161.415959,4106.525293,5622.942464,31354.03573,7640.519520999999,4920.355951,2000.603139,424,718.3730947,12954.791009999999,1443.429832,2603.273765,33693.17525,15169.161119999999,1648.0797890000001,3761.8377149999997,7426.354773999999,2393.219781,707.2357863,4336.032082,1977.5570100000002
7,1987,852.3959447999999,18524.02406,751.9794035,683.8955732000001,1378.904018,20038.472690000002,976.5126756000001,1748.356961,6642.881371,11643.57268,17122.47986,22375.941890000002,4448.679912,4106.4923149999995,8533.088805,28118.42998,5377.091329,5249.802653,2338.008304,385,775.6324501,18115.223130000002,1704.686583,2189.634995,21198.26136,18861.53081,1876.766827,3116.774285,11054.56175,2982.653773,820.7994449,5107.197384,1971.741538
8,1992,649.3413952000001,19035.579169999997,837.8101642999999,682.3031755,1655.784158,24757.60301,1164.406809,2383.140898,7235.653187999999,3745.6406869999996,18051.52254,26824.895109999998,3431.5936469999997,3726.063507,12104.27872,34932.91959,6890.806854,7277.912802,1785.402016,347,897.7403604,18616.70691,1971.8294640000001,2279.3240170000004,24841.617769999997,24769.8912,2153.7392219999997,3340.542768,15215.6579,4616.8965450000005,989.0231487,6017.654756,1879.496673
9,1997,635.341351,20292.01679,972.7700352,734.28517,2289.234136,28377.632189999997,1458.817442,3119.335603,8263.590301,3076.239795,20896.60924,28816.58499,3645.379572,1690.756814,15993.52796,40300.61996,8754.96385,10132.90964,1902.2521,415,1010.892138,19702.055809999998,2049.3505210000003,2536.534925,20586.69019,33519.4766,2664.477257,4014.238972,20206.82098,5852.625497,1385.896769,7110.667619,2117.484526
10,2002,726.7340548,23403.559269999998,1136.3904300000002,896.2260152999999,3119.280896,30209.015160000003,1746.769454,2873.91287,9240.761975,4390.717312,21905.59514,28604.5919,3844.9171939999997,1646.758151,19233.98818,35110.10566,9313.93883,10206.97794,2140.7393230000002,611,1057.206311,19774.83687,2092.712441,2650.921068,19014.54118,36023.1054,3015.3788329999998,4090.9253310000004,23235.42329,5913.187529,1764.456677,4515.487575,2234.820827
11,2007,974.5803384,29796.048339999998,1391.253792,1713.7786859999999,4959.1148539999995,39724.97867,2452.210407,3540.6515640000002,11605.71449,4471.061906,25523.2771,31656.06806,4519.461171,1593.06548,23348.139730000003,47306.98978,10461.05868,12451.6558,3095.7722710000003,944,1091.359778,22316.19287,2605.94758,3190.481016,21654.83194,47143.179639999995,3970.0954070000003,4184.548089,28718.27684,7458.3963269999995,2441.576404,3025.349798,2280.769906
